               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072713,            0.045808,                   0,              0.5387,             0.69024,             0.65392,             0.29464,            0.047075,            0.027718,                   0,            0.070125,           0.0033194,           0.0033194
                   1,            0.048925,            0.033551,                   0,             0.76628,             0.82568,             0.84963,              0.4078,            0.038877,            0.023031,                   0,            0.040015,            0.006543,            0.006543
                   2,            0.042019,            0.029581,                   0,             0.97199,             0.93054,             0.97693,             0.61308,            0.029948,            0.021761,                   0,           0.0097955,           0.0096566,           0.0096566
                   3,            0.036049,            0.028168,                   0,             0.97002,             0.95307,             0.97984,             0.67232,            0.025803,            0.020847,                   0,            0.009505,            0.009505,            0.009505
                   4,            0.031528,            0.027106,                   0,             0.97032,              0.9425,             0.97812,             0.68458,            0.025789,            0.021169,                   0,            0.009505,            0.009505,            0.009505
                   5,             0.02929,            0.026149,                   0,             0.97846,             0.96413,             0.98495,              0.7188,            0.022564,            0.019325,                   0,             0.00934,             0.00934,             0.00934
                   6,            0.027404,              0.0256,                   0,             0.97859,             0.96534,             0.98557,             0.73539,            0.021553,               0.019,                   0,            0.009175,            0.009175,            0.009175
                   7,            0.025933,            0.024643,                   0,             0.97957,             0.96439,             0.98777,             0.73414,            0.021281,            0.018935,                   0,             0.00901,             0.00901,             0.00901
                   8,            0.024761,            0.024154,                   0,               0.978,             0.96111,             0.98642,             0.75333,            0.020598,            0.018838,                   0,            0.008845,            0.008845,            0.008845
                   9,            0.023755,            0.023704,                   0,             0.98343,             0.96212,             0.98687,             0.75389,            0.020355,            0.018369,                   0,             0.00868,             0.00868,             0.00868
                  10,            0.023422,            0.023006,                   0,             0.98527,             0.96404,             0.98684,             0.76347,            0.019671,            0.017957,                   0,            0.008515,            0.008515,            0.008515
