               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072713,            0.045808,                   0,             0.53814,             0.69024,             0.65365,             0.29421,            0.047075,            0.027718,                   0,            0.070125,           0.0033194,           0.0033194
                   1,            0.048823,            0.033585,                   0,             0.82834,             0.88535,             0.92008,             0.45345,            0.038551,            0.023351,                   0,            0.039686,           0.0062137,           0.0062137
                   2,             0.04141,             0.02965,                   0,             0.96896,             0.94192,             0.97679,             0.60168,              0.0306,            0.021788,                   0,           0.0088068,           0.0086679,           0.0086679
                   3,             0.03503,            0.027928,                   0,             0.97415,             0.95675,             0.98276,             0.69016,             0.02495,            0.020281,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.030984,            0.026816,                   0,             0.98187,             0.96238,             0.98635,             0.71385,            0.024747,             0.01952,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.028411,             0.02567,                   0,             0.98263,             0.96346,             0.98636,             0.72449,            0.022496,            0.019028,                   0,             0.00736,             0.00736,             0.00736
                   6,             0.02642,            0.025146,                   0,             0.98427,             0.96499,             0.98607,             0.73958,            0.021233,            0.018749,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.024652,            0.024202,                   0,             0.97967,             0.96547,             0.98714,             0.75416,            0.020305,            0.018404,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.022889,             0.02344,                   0,             0.98392,             0.97016,             0.98912,             0.76956,            0.019381,            0.017831,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.021706,            0.022763,                   0,             0.98497,             0.96671,             0.98824,             0.76972,            0.019541,            0.017655,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.021064,            0.021947,                   0,             0.98337,             0.97143,             0.98854,             0.77942,            0.018763,            0.017433,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.020438,            0.021903,                   0,              0.9841,             0.97512,             0.99136,             0.78646,            0.018601,            0.017135,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.019948,            0.021664,                   0,             0.98677,             0.97016,             0.99113,             0.79001,            0.018276,            0.017079,                   0,             0.00274,             0.00274,             0.00274
                  13,             0.01952,            0.021149,                   0,             0.98711,             0.97589,             0.99121,              0.7985,            0.018098,             0.01687,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.019131,            0.020946,                   0,             0.98741,             0.97385,             0.99106,             0.79693,            0.017945,             0.01667,                   0,             0.00142,             0.00142,             0.00142
